season,episode,scene,location,extra_scene_info
1,1,1,central perk,"chandler, joey, phoebe, and monica are there."
1,1,2,monica's apartment,everyone is there and watching a spanish soap on tv and are trying to figure out what is going on.
1,1,3,the subway,phoebe is singing for change.
1,1,4,ross's apartment,the guys are there assembling furniture.
1,1,5,a restaurant,monica and paul are eating.
1,1,6,monica's apartment,rachel is talking on the phone and pacing.
1,1,7,ross's apartment; ross is pacing while joey and chandler are working on some more furniture,rachel is talking on the phone and pacing.
1,1,8,a restaurant,monica and paul are still eating.
1,1,9,monica's apartment,rachel is watching joanne loves chaci .
1,1,10,ross's apartment,they're all sitting around and talking.
1,1,11,monica's apartment,rachel is making coffee for joey and chandler.
1,1,12,iridium,monica is working as frannie enters.
1,1,13,central perk,everyone but rachel is there.
1,1,14,monica and rachel's,everyone is sitting around the kitchen table. rachel's credit cards are spread out on the table along with a pair of scissors.
1,1,15,central perk,everyone is there.
1,2,1,central perk,everyone's there.
1,2,2,museum of prehistoric history,ross and a co-worker marsha are setting up an exhibit which includes some mannequins of cave people.
1,2,3,monica and rachel's,"chandler, joey, phoebe, and monica are watching three's company ."
1,2,4,monica and rachel's,monica and ross are pouring wine for their parents.
1,2,5,central park,everyone's there.
1,2,6,carol's ob/gyn,carol is waiting.
1,2,7,barry's office,"barry is working on patient, robbie, as rachel enters."
1,2,8,carol's ob/gyn,they're talking about how this is going to work.
1,2,9,barry's office,rachel is doing her makeup in the mirror on barry's lamp as barry enters.
1,2,10,carol's ob/gyn,they're still arguing about what to name the baby.
1,2,11,monica and rachel's apartment,everyone is watching the tape of the sonogram. rachel is on the phone.
1,3,1,central perk,everyone but phoebe is there.
1,3,2,chandler and joey's,chandler is helping joey rehearse for a part.
1,3,3,central perk,everyone except phoebe and rachel is there.
1,3,4,iridium,monica and paula are at work.
1,3,5,monica and rachel's,"chandler is smoking out on the balcony, phoebe is absent."
1,3,6,central perk,"monica is alone as ross, rachel, chandler, and joey enter dejectedly in softball gear."
1,3,7,a street,phoebe walks up to a homeless person lizzie she knows.
1,3,8,chandler's office,"chandler looks around, opens his desk drawer, takes a puff of a cigarette, sprays around some air freshener, and takes some breath spray. he types for a little while, opens the drawer again, and takes another drag of the cigarette. while not paying attention, he sprays the breath spray around the room, takes a squirt of air freshener and gags."
1,3,9,a street,phoebe and lizzie are at a hot dog vendor.
1,3,10,central perk,phoebe is telling everyone about her discovery.
1,3,11,iridium,monica and paula are working.
1,3,12,cental perk,joey and ross are persecuting chandler about his smoking.
1,3,13,monica and rachel's,everyond except monica and joey is watching lambchop.
1,3,14,a restaurant,monica is breaking the news to alan.
1,3,15,monica and rachel's,everyone is mopping around and eating ice cream.
1,4,1,central perk,everyone is there except joey.
1,4,2,central perk,ross and monica are watching phoebe sleep.
1,4,3,a street,chandler and joey are kicking a can to each other.
1,4,4,central perk,"rachel, lesile, kiki, and joanne are talking."
1,4,5,monica and rachel's,phoebe and monica are in pajamas and monica is making something in the blender as rachel enters.
1,4,6,madison square garden,the guys are trying to find their seats.
1,4,7,monica and rachel's,they're all hanging out in the living room.
1,4,8,madison square garden,the guys are watching the game.
1,4,9,an emergency room,chandler and joey are leading ross in.
1,4,10,monica and rachel's,the slumber party continues.
1,4,11,the emergency room,joey is miming hockey pucks kitting foreheads. chandler realises it's getting tense and goes to the receptionist again.
1,4,12,monica and rachel's,the girls are all out on the balcony.
1,4,13,the emergency room,ross is still going on about his first night with carol.
1,4,14,monica and rachel's,the girls are still out on the balcony.
1,4,15,the emergency room,ross is absent.
1,4,16,monica and rachel's,joey and the girls are playing twister.
1,5,1,central perk,all six are there.
1,5,2,central perk,all are there.
1,5,3,monica and rachel's apartment,"joey is there, trying to convince monica to pose as his girlfriend. his plan is to hook monica up with angela's boyfriend bob and then take angela back for himself."
1,5,4,ross' apartment,chandler is over.
1,5,5,a fancy restaurant,"joey and monica are there, meeting angela and bob, who monica thinks is angela's brother."
1,5,6,central perk,"chandler and phoebe are there, both ready to break up with their significant others."
1,5,7,the launderama,"rachel is there, waiting for ross. an old woman takes rachel's clothes off the machine and begins loading it with her things."
1,5,8,fancy restaurant,"monica, joey, angela, and bob are seated at the table."
1,5,9,fancy restaurant,joey and bob are talking.
1,5,10,the ladies' bathroom at the restaurant,monica and angela are talking.
1,5,11,central perk,phoebe is coaching chandler on how to break up with janice.
1,5,12,the laundromat,phoebe is coaching chandler on how to break up with janice.
1,5,13,the fancy restaurant,"angela has her hand in bob's shirt, and monica is very uncomfortable."
1,5,14,central perk,"chandler is still trying to ease things over with janice, and there are about a dozen empty espresso cups in front of him. he is extremely wired."
1,5,15,the launderama,rachel is sorting her now-pink clothes.
1,5,16,central perk,"ross, rachel, and phoebe are there. ross has an icepack to his head."
1,6,1,a theater,the gang is in the audience wating for a play of joey's to start.
